Date,Risk Free Rate
2013-01-02,0.00043935184112841105
2013-01-03,0.0005045794521417907
2013-01-04,0.0005650209949277411
2013-01-07,0.0006078952440190553
2013-01-08,0.0005799543260404992
2013-01-09,0.0005551156445995531
2013-01-10,0.0005244750757088229
2013-01-11,0.0008484956994955232
2013-01-14,0.001151481103561306
2013-01-15,0.0011714558369975824
2013-01-16,0.001121380544259908
2013-01-17,0.0015291285454755977
2013-01-18,0.0017061881496558983
2013-01-21,0.0014859927732155723
2013-01-22,0.0014354375567956653
2013-01-23,0.001403689658050566
2013-01-24,0.0014645918503047258
2013-01-25,0.00171708393244939
2013-01-28,0.002182555734201733
2013-01-29,0.0020619772537353695
2013-01-30,0.0022005267707401154
2013-01-31,0.0020567206128466295
2013-02-01,0.0021647836264032344
2013-02-04,0.0018979110551766633
2013-02-05,0.001842065935703442
2013-02-06,0.0017965079778425271
2013-02-07,0.0018036255886425953
2013-02-08,0.0015150991059144003
2013-02-11,0.0014949236256572307
2013-02-12,0.0014943929227924835
2013-02-13,0.0015943886667215306
2013-02-14,0.001484874406301068
2013-02-15,0.0013444507513369157
2013-02-18,0.0013403084780281781
2013-02-19,0.0013071769351208028
2013-02-20,0.0013736400881091875
2013-02-21,0.0013188019013323355
2013-02-22,0.001328290268031689
2013-02-25,0.0010682988695157364
2013-02-26,0.000969664696752595
2013-02-27,0.0008917523130120885
2013-02-28,0.0008852028528436756
2013-03-01,0.0006709860388987602
2013-03-04,0.0006637405448809441
2013-03-05,0.0007264295677079091
2013-03-06,0.0006792871767223044
2013-03-07,0.0006738093586233165
2013-03-08,0.000825050972495473
2013-03-11,0.0008303156772617924
2013-03-12,0.0008593876177542981
2013-03-13,0.0008486287386771606
2013-03-14,0.0008857752204655547
2013-03-15,0.0008757687341170445
2013-03-18,0.0007462697282825507
2013-03-19,0.0008834762052590074
2013-03-20,0.0009324727589089421
2013-03-21,0.000900863130552143
2013-03-22,0.0009923906616343325
2013-03-25,0.0009188756535861625
2013-03-26,0.0009214538084124949
2013-03-27,0.0008216541920038132
2013-03-28,0.0008264781151934346
2013-04-02,0.0007959615293645836
2013-04-03,0.0007854071895442573
2013-04-04,0.0007979959338406926
2013-04-05,0.0007342227898654027
2013-04-08,0.0007919770396162952
2013-04-09,0.0008216869896811117
2013-04-10,0.0008130558942160853
2013-04-11,0.0008218454796018007
2013-04-12,0.0007500845766700361
2013-04-15,0.0007478139839169635
2013-04-16,0.0007477638942730759
2013-04-17,0.0007968546799867086
2013-04-18,0.000717750129713163
2013-04-19,0.0007266660113161282
2013-04-22,0.0007175238828278826
2013-04-23,0.0006826002292622834
2013-04-24,0.0006775730621287819
2013-04-25,0.0006536019519197507
2013-04-26,0.0006774667684728036
2013-04-29,0.0006230229143273514
2013-04-30,0.0006075703534832005
2013-05-01,0.0006068126456686293
2013-05-02,0.000616255439770121
2013-05-03,0.0004886997830390108
2013-05-06,0.0005436124995169345
2013-05-07,0.000512343559117592
2013-05-08,0.0005645072326746509
2013-05-09,0.0005501254867284789
2013-05-10,0.0005966532132591288
2013-05-13,0.0005759064567118536
2013-05-14,0.0005472236277548779
2013-05-15,0.0005471760224887583
2013-05-16,0.0004775032461228144
2013-05-17,0.00032997417268452285
2013-05-20,0.00037322438655793916
2013-05-21,0.00040205269741299256
2013-05-22,0.00045185993992455907
2013-05-23,0.0004572627479177576
2013-05-24,0.0005051966292622921
2013-05-27,0.0005438460238138655
2013-05-28,0.0005395905297095735
2013-05-29,0.0005553487215800495
2013-05-30,0.0005910504712029756
2013-05-31,0.0005626088237289792
2013-06-03,0.00053791925931021
2013-06-04,0.0006149912903743134
2013-06-05,0.0005878414614951405
2013-06-06,0.0005846447747511388
2013-06-07,0.0007945431953012295
2013-06-10,0.0008666957021208118
2013-06-11,0.0009145393016227799
2013-06-12,0.0009518807420956861
2013-06-13,0.0009408452292982959
2013-06-14,0.000897498537265872
2013-06-17,0.0008666560988407736
2013-06-18,0.000915753032594614
2013-06-19,0.0009339279685293092
2013-06-20,0.0009414723745581886
2013-06-21,0.0010033361614512305
2013-06-24,0.0011407969071044438
2013-06-25,0.0011872812496490045
2013-06-26,0.0012548779179765953
2013-06-27,0.0011369150124109766
2013-06-28,0.0011432016914037016
2013-07-01,0.00115955954075944
2013-07-02,0.0011486994950073042
2013-07-03,0.0011427044538638467
2013-07-04,0.0010941472047420592
2013-07-05,0.0009437374333518325
2013-07-08,0.0009460400895367057
2013-07-09,0.0009602963360193913
2013-07-10,0.0009276908513514001
2013-07-11,0.0009597812894959994
2013-07-12,0.000978631864992274
2013-07-15,0.000993929372130376
2013-07-16,0.0009838657190944012
2013-07-17,0.0009830262850735558
2013-07-18,0.0009630235215040072
2013-07-19,0.0009843786540093007
2013-07-22,0.0010280538820540265
2013-07-23,0.001114301196364965
2013-07-24,0.0011403859942784621
2013-07-25,0.001105483986147004
2013-07-26,0.0010550469256673037
2013-07-29,0.0010422598134146933
2013-07-30,0.0010064986304872603
2013-07-31,0.0010347411693842424
2013-08-01,0.0010394062604268538
2013-08-02,0.0010578634849069748
2013-08-05,0.0010429650745773075
2013-08-06,0.0010255694786171444
2013-08-07,0.0010136644812920768
2013-08-08,0.0010133517774372066
2013-08-09,0.0010130489730809146
2013-08-12,0.0010029157496888018
2013-08-13,0.0009806961022578086
2013-08-14,0.000977422827939968
2013-08-15,0.0010072059700492527
2013-08-16,0.00099710158519621
2013-08-19,0.0010015697978024484
2013-08-20,0.0009612090911331354
2013-08-21,0.000971874637239611
2013-08-22,0.0009925144580264196
