Date,Risk Free Rate
2013-01-02,0.0008773381258987147
2013-01-03,0.0010498966913813712
2013-01-04,0.0012242358895467355
2013-01-07,0.001219874693626593
2013-01-08,0.0011594608429235454
2013-01-09,0.0010794968829384015
2013-01-10,0.0011732169536417042
2013-01-11,0.0016533601411238225
2013-01-14,0.0019871611985241445
2013-01-15,0.0018617240952686145
2013-01-16,0.0018361590615572597
2013-01-17,0.002527955213056535
2013-01-18,0.0025882264043956644
2013-01-21,0.0025164629944786545
2013-01-22,0.0023383639348927756
2013-01-23,0.0021989525200092437
2013-01-24,0.0022964443723758805
2013-01-25,0.0029257883398979053
2013-01-28,0.0034583816370704493
2013-01-29,0.0033749227568933863
2013-01-30,0.00357286430305419
2013-01-31,0.0033794841475557062
2013-02-01,0.003395709294561509
2013-02-04,0.002876580786578286
2013-02-05,0.002942091649556518
2013-02-06,0.002970577887111826
2013-02-07,0.002762220665212797
2013-02-08,0.002400932919269322
2013-02-11,0.002379369831559488
2013-02-12,0.002507476390547816
2013-02-13,0.0027575389251159894
2013-02-14,0.002456920558068859
2013-02-15,0.0022131736163657134
2013-02-18,0.0023053245122574336
2013-02-19,0.0021643696402619925
2013-02-20,0.0023543545957984474
2013-02-21,0.0021676818406819337
2013-02-22,0.0018432868080117462
2013-02-25,0.0016835699267832244
2013-02-26,0.001417928749310646
2013-02-27,0.001340807305765888
2013-02-28,0.001118719188375145
2013-03-01,0.001103148001496354
2013-03-04,0.001024416590508075
2013-03-05,0.00132499554161759
2013-03-06,0.0011662157169135602
2013-03-07,0.001336670186641043
2013-03-08,0.001274367557293347
2013-03-11,0.0013256486607343733
2013-03-12,0.0012431400359719275
2013-03-13,0.0013867300794403498
2013-03-14,0.0012071403855083737
2013-03-15,0.0011173412772172407
2013-03-18,0.001008288269484718
2013-03-19,0.0012690013281973075
2013-03-20,0.0014196103279420262
2013-03-21,0.001390440783968205
2013-03-22,0.0012921580823777726
2013-03-25,0.001296868255907508
2013-03-26,0.001036755624342823
2013-03-27,0.0010252172528042124
2013-03-28,0.0009054850514024856
2013-04-02,0.0008859531780562816
2013-04-03,0.0009768054240612888
2013-04-04,0.0008575015809991034
2013-04-05,0.0009111924005422592
2013-04-08,0.0010525931028221361
2013-04-09,0.0010958763464805968
2013-04-10,0.0012187671226492078
2013-04-11,0.0011829731267853684
2013-04-12,0.0010670657809769648
2013-04-15,0.0008491471018180474
2013-04-16,0.0010157951634594171
2013-04-17,0.000903960491586956
2013-04-18,0.0009604710489974633
2013-04-19,0.0008775842333811213
2013-04-22,0.0008221964968446339
2013-04-23,0.0008242407755521765
2013-04-24,0.0009215146231625574
2013-04-25,0.000916814160381719
2013-04-26,0.0007878666873964717
2013-04-29,0.0007370135125734951
2013-04-30,0.0008185509600962125
2013-05-01,0.0008174753142528716
2013-05-02,0.0005804407959824191
2013-05-03,0.0004955423689997177
2013-05-06,0.0005304485160394329
2013-05-07,0.0006143552796231314
2013-05-08,0.0006341154436529102
2013-05-09,0.0005773586099598804
2013-05-10,0.0007531268656396782
2013-05-13,0.0007323566903849042
2013-05-14,0.0007598206599910961
2013-05-15,0.0006234120994149117
2013-05-16,0.0004854076795002575
2013-05-17,0.00027958525741756475
2013-05-20,0.0003624528388985295
2013-05-21,0.0004884784432016637
2013-05-22,0.0005506255999400218
2013-05-23,0.0005635967475251519
2013-05-24,0.0006650777188747134
2013-05-27,0.0007214052233648158
2013-05-28,0.0008241716976192717
2013-05-29,0.001052645898960752
2013-05-30,0.0011077847300972193
2013-05-31,0.0010283154348988963
2013-06-03,0.0010403925357661767
2013-06-04,0.0012513158692233168
2013-06-05,0.001146555775104581
2013-06-06,0.001109458560355939
2013-06-07,0.001556592383132943
2013-06-10,0.0017105100842642641
2013-06-11,0.001902593599643306
2013-06-12,0.0018719269790736896
2013-06-13,0.0016676024308151605
2013-06-14,0.0015278371294102323
2013-06-17,0.0014133675564702041
2013-06-18,0.0015700899132864022
2013-06-19,0.0017163838735145744
2013-06-20,0.0020106690162511372
2013-06-21,0.002247020541893426
2013-06-24,0.0026236341435319547
2013-06-25,0.00238056453590905
