Date,Volume,Price
2013-08-27,1115.0,4.779999999999999
2013-08-28,1422.0,4.9350000000000005
2013-08-29,1836.0,4.885
2013-08-30,397.0,4.890000000000001
2013-09-02,1058.0,4.84
2013-09-03,812.0,4.75
2013-09-04,2252.0,4.805
2013-09-05,2581.0,5.075
2013-09-06,4829.0,5.545
2013-09-09,2540.0,5.75
2013-09-10,1434.0,5.58
2013-09-11,1034.0,5.5
2013-09-12,1396.0,5.88
2013-09-13,1912.0,5.83
2013-09-16,2230.0,5.805
2013-09-17,4175.0,5.949999999999999
2013-09-18,1799.0,6.02
2013-09-19,2399.0,5.82
2013-09-20,2752.0,5.720000000000001
2013-09-23,2581.0,5.77
2013-09-24,1531.0,5.84
2013-09-25,4037.0,5.76
2013-09-26,1053.0,5.84
2013-09-27,1263.0,5.805
2013-09-30,2539.0,5.535
2013-10-01,1441.0,5.4399999999999995
2013-10-02,1591.0,5.609999999999999
2013-10-03,1637.0,5.59
2013-10-04,1506.0,5.525
2013-10-07,2738.0,5.41
2013-10-08,2204.0,5.27
2013-10-09,3174.0,5.115
2013-10-10,1584.0,5.1
2013-10-11,1761.0,5.005000000000001
2013-10-14,1343.0,5.050000000000001
2013-10-15,2222.0,5.335
2013-10-16,7095.0,5.545
2013-10-17,3611.0,5.62
2013-10-18,2037.0,5.57
2013-10-21,8177.0,5.17
2013-10-22,3667.0,4.984999999999999
2013-10-23,1960.0,5.01
2013-10-24,1515.0,4.965
2013-10-25,3738.0,5.205
2013-10-28,610.0,5.26
2013-10-29,2084.0,5.33
2013-10-30,535.0,5.4350000000000005
2013-10-31,1399.0,5.205
2013-11-01,1531.0,5.02
2013-11-04,2409.0,4.9350000000000005
2013-11-05,2662.0,5.12
2013-11-06,1178.0,5.17
2013-11-07,2953.0,5.175
2013-11-08,4051.0,5.045
2013-11-11,2587.0,4.95
2013-11-12,4672.0,4.99
2013-11-13,2050.0,5.04
2013-11-14,1743.0,4.98
2013-11-15,1395.0,4.865
2013-11-18,4167.0,4.765000000000001
2013-11-19,4949.0,4.775
2013-11-20,1088.0,4.8
2013-11-21,2011.0,4.785
2013-11-22,2132.0,4.775
2013-11-25,1531.0,4.76
2013-11-26,6047.0,4.8149999999999995
2013-11-27,2350.0,4.85
2013-11-28,1504.0,4.775
2013-11-29,2662.0,4.715
2013-12-02,4590.0,4.77
2013-12-03,4707.0,4.8100000000000005
2013-12-04,3133.0,4.795
2013-12-05,10071.0,4.885
2013-12-06,7111.0,5.045
2013-12-09,6961.0,5.15
2013-12-10,8281.0,5.29
2013-12-11,2613.0,5.26
2013-12-12,1783.0,5.16
2013-12-13,1033.0,5.13
2013-12-16,1770.0,5.01
2013-12-17,321.0,5.32
2013-12-18,254.0,5.445
2013-12-19,260.0,5.465
2013-12-20,475.0,5.305
2013-12-23,358.0,5.255
2013-12-24,140.0,5.32
2013-12-27,125.0,5.41
2013-12-30,100.0,5.4
2013-12-31,100.0,5.33
2014-01-02,262.0,5.234999999999999
2014-01-03,153.0,5.1850000000000005
