Bonds,,Date,XS0563106730,XS1324446092,XS0821175717,XS0462887349,XS1381693248
XS0563106730,,10/12/2011,96.57,NA,NA,103.56,NA
XS1324446092,,10/13/2011,96.93,NA,NA,103.78,NA
XS0821175717,,10/14/2011,96.89,NA,NA,103.86,NA
XS0462887349,,10/17/2011,97.65,NA,NA,104.21,NA
XS1381693248,,10/18/2011,98.45,NA,NA,104.44,NA
,,10/19/2011,98.25,NA,NA,104.19,NA
,,10/20/2011,98.01,NA,NA,104.18,NA
,,10/21/2011,97.96,NA,NA,104.14,NA
,,10/24/2011,98.3,NA,NA,104.33,NA
,,10/25/2011,97.95,NA,NA,104.43,NA
,,10/26/2011,98.79,NA,NA,104.64,NA
,,10/27/2011,98.61,NA,NA,104.49,NA
,,10/28/2011,98.66,NA,NA,104.53,NA
,,10/31/2011,99.42,NA,NA,104.75,NA
,,11/1/2011,100.54,NA,NA,105.05,NA
,,11/2/2011,100.4,NA,NA,104.93,NA
,,11/3/2011,100.25,NA,NA,104.98,NA
,,11/4/2011,100.59,NA,NA,105.11,NA
,,11/7/2011,100.97,NA,NA,105.17,NA
,,11/8/2011,100.95,NA,NA,105.22,NA
,,11/9/2011,101.13,NA,NA,105.29,NA
,,11/10/2011,101.05,NA,NA,105.21,NA
,,11/11/2011,100.75,NA,NA,105.07,NA
,,11/14/2011,100.88,NA,NA,105.23,NA
,,11/15/2011,101.25,NA,NA,105.3,NA
,,11/16/2011,100.68,NA,NA,105.11,NA
,,11/17/2011,100.41,NA,NA,104.9,NA
,,11/18/2011,99.93,NA,NA,104.63,NA
,,11/21/2011,99.84,NA,NA,104.69,NA
,,11/22/2011,99.44,NA,NA,104.57,NA
,,11/23/2011,99.28,NA,NA,104.37,NA
,,11/24/2011,97.54,NA,NA,104.15,NA
,,11/25/2011,97.3,NA,NA,104.05,NA
,,11/28/2011,96.99,NA,NA,103.6,NA
,,11/29/2011,97.05,NA,NA,103.7,NA
,,11/30/2011,97.38,NA,NA,104.14,NA
,,12/1/2011,97.79,NA,NA,104.56,NA
,,12/2/2011,98.26,NA,NA,104.64,NA
,,12/5/2011,99.26,NA,NA,104.54,NA
,,12/6/2011,99.11,NA,NA,104.51,NA
,,12/7/2011,99.38,NA,NA,104.37,NA
,,12/8/2011,99.75,NA,NA,104.45,NA
,,12/9/2011,99.86,NA,NA,104.4,NA
,,12/12/2011,100.06,NA,NA,104.53,NA
,,12/13/2011,99.97,NA,NA,104.5,NA
,,12/14/2011,100.16,NA,NA,104.55,NA
,,12/15/2011,100.65,NA,NA,104.58,NA
,,12/16/2011,100.84,NA,NA,104.67,NA
,,12/19/2011,101.21,NA,NA,104.7,NA
,,12/20/2011,101.05,NA,NA,104.67,NA
,,12/21/2011,100.84,NA,NA,104.63,NA
,,12/22/2011,100.73,NA,NA,104.6,NA
,,12/23/2011,100.93,NA,NA,104.65,NA
,,12/26/2011,100.93,NA,NA,104.65,NA
,,12/27/2011,100.1,NA,NA,104.72,NA
,,12/28/2011,100.78,NA,NA,104.81,NA
,,12/29/2011,101.16,NA,NA,104.81,NA
,,12/30/2011,101.37,NA,NA,104.81,NA
,,1/2/2012,101.06,NA,NA,104.7,NA
,,1/3/2012,101.59,NA,NA,104.71,NA
,,1/4/2012,101.81,NA,NA,104.76,NA
,,1/5/2012,101.96,NA,NA,104.84,NA
,,1/6/2012,101.25,NA,NA,104.81,NA
,,1/9/2012,101.39,NA,NA,104.88,NA
,,1/10/2012,101.37,NA,NA,104.84,NA
,,1/11/2012,101.22,NA,NA,104.87,NA
,,1/12/2012,101.61,NA,NA,104.88,NA
,,1/13/2012,101.85,NA,NA,104.93,NA
,,1/16/2012,101.91,NA,NA,104.97,NA
,,1/17/2012,102,NA,NA,104.91,NA
,,1/18/2012,101.88,NA,NA,104.87,NA
,,1/19/2012,102.07,NA,NA,104.79,NA
,,1/20/2012,102.38,NA,NA,104.71,NA
,,1/23/2012,102.21,NA,NA,104.71,NA
,,1/24/2012,102.2,NA,NA,104.7,NA
,,1/25/2012,102.37,NA,NA,104.67,NA
,,1/26/2012,102.66,NA,NA,104.75,NA
,,1/27/2012,103.02,NA,NA,104.93,NA
,,1/30/2012,103.23,NA,NA,104.99,NA
,,1/31/2012,103.25,NA,NA,104.99,NA
,,2/1/2012,103.39,NA,NA,104.97,NA
,,2/2/2012,103.42,NA,NA,105.05,NA
,,2/3/2012,103.16,NA,NA,105.07,NA
,,2/6/2012,103.3,NA,NA,105.17,NA
,,2/7/2012,103.18,NA,NA,105.25,NA
