Row,0.1,0.2,0.3,0.4,0.6,0.7,0.8,0.9
(Intercept),0***,0***,0***,0***,0***,0***,0***,0***
Delta\_C\_lag1,-0.12***,-0.03,-0.02,-0.02**,-0.03**,-0.03**,-0.04***,-0.08***
Delta\_C\_lag2,-0.08,-0.03*,-0.02,-0.01,-0.01,-0.02,-0.03,-0.08***
Delta\_C\_lag3,-0.01,-0.02***,-0.02,-0.02***,-0.02***,-0.02***,-0.03***,-0.07***
ect\_lag1,-0.08***,-0.03***,-0.01***,-0.01**,0*,0.01***,0.02***,0.03*
